step,loss,reward,reward_std,mean_length,min_length,max_length,clipped_ratio,mean_term_length,min_term_length,max_term_length,kl,format_exact,format_exact_std,format_approx,format_approx_std,check_action,check_action_std,check_env,check_env_std
44,0.000300,11.000000,0.000000,40.093750,26.000000,61.000000,0.000000,40.093750,26.000000,61.000000,0.309574,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
45,0.000400,11.000000,0.000000,35.406250,26.000000,54.000000,0.000000,35.406250,26.000000,54.000000,0.436725,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
46,0.000300,11.000000,0.000000,40.593750,29.000000,64.000000,0.000000,40.593750,29.000000,64.000000,0.334977,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
47,0.000400,11.000000,0.000000,35.000000,24.000000,56.000000,0.000000,35.000000,24.000000,56.000000,0.418111,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
48,0.000400,11.000000,0.000000,38.437500,26.000000,57.000000,0.000000,38.437500,26.000000,57.000000,0.400405,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
49,0.000300,11.000000,0.000000,39.843750,24.000000,63.000000,0.000000,39.843750,24.000000,63.000000,0.370168,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
50,0.000400,11.000000,0.000000,38.437500,29.000000,72.000000,0.000000,38.437500,29.000000,72.000000,0.380267,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
51,0.000500,11.000000,0.000000,35.031250,25.000000,49.000000,0.000000,35.031250,25.000000,49.000000,0.479569,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
52,0.000400,11.000000,0.000000,37.031250,24.000000,49.000000,0.000000,37.031250,24.000000,49.000000,0.394436,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
53,0.009800,10.906250,0.265165,40.156250,28.000000,53.000000,0.000000,40.156250,28.000000,53.000000,0.362653,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
54,0.000300,11.000000,0.000000,41.281250,29.000000,64.000000,0.000000,41.281250,29.000000,64.000000,0.360410,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
55,0.000400,11.000000,0.000000,37.781250,25.000000,60.000000,0.000000,37.781250,25.000000,60.000000,0.362846,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
56,0.000400,11.000000,0.000000,39.218750,25.000000,53.000000,0.000000,39.218750,25.000000,53.000000,0.367479,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
57,0.000400,11.000000,0.000000,38.343750,24.000000,57.000000,0.000000,38.343750,24.000000,57.000000,0.446003,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
58,0.000400,11.000000,0.000000,36.468750,24.000000,61.000000,0.000000,36.468750,24.000000,61.000000,0.450314,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
59,0.005600,10.812500,0.530330,38.281250,25.000000,63.000000,0.000000,38.281250,25.000000,63.000000,0.752510,3.000000,0.000000,2.000000,0.000000,4.312500,0.737804,1.500000,0.000000
60,0.038600,10.906250,0.265165,38.406250,24.000000,69.000000,0.000000,38.406250,24.000000,69.000000,14.573360,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
61,0.000500,11.000000,0.000000,36.218750,24.000000,50.000000,0.000000,36.218750,24.000000,50.000000,0.482474,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
62,0.000400,11.000000,0.000000,34.062500,24.000000,50.000000,0.000000,34.062500,24.000000,50.000000,0.417702,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
63,0.000700,10.906250,0.265165,37.875000,25.000000,60.000000,0.000000,37.875000,25.000000,60.000000,1.742104,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
64,0.000400,11.000000,0.000000,38.656250,29.000000,55.000000,0.000000,38.656250,29.000000,55.000000,0.384321,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
65,0.000400,11.000000,0.000000,35.250000,26.000000,53.000000,0.000000,35.250000,26.000000,53.000000,0.435756,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
66,0.000300,11.000000,0.000000,38.968750,24.000000,61.000000,0.000000,38.968750,24.000000,61.000000,0.362294,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
